#TUCAN Gradiometer B-field Measurements
#
#Scan freq: 5000 Hz
#Sample freq: 8.33 Hz
#Range of Fluxgate: 500 μ T
#Fluxgate 1 Serial No. 523
#	 x-offset: 0.5896 ± 0.0015 μ T
#	 y-offset: 0.5861 ± 0.0007 μ T
#	 z-offset: 0.4189 ± 0.0007 μ T
#Date: 2023-01-10 13:47:09.065110
#Start Time: 2023-01-10 13:44:03.010861
#End Time: 2023-01-10 13:46:59.452913
#Experimenters: Emma
#Comments: Square wave coil on, F=0.1Hz, Vpp= 5V, duty=50%, 21,5 ohm resistor in series, FG might have offset?
# 
Time,Bx (μ T),By (μ T),Bz (μ T)
2023-01-10 13:44:41.078220,20.04042047244093,-17.207548734668876,30.80683333909201
2023-01-10 13:44:41.499495,20.03410076425007,-17.200914102077718,30.809756204130277
2023-01-10 13:44:41.927982,20.04042047244093,-17.203994467209327,30.805648393806223
2023-01-10 13:44:42.349855,20.040341476088543,-17.20241479278286,30.809914196835052
2023-01-10 13:44:42.941387,20.036944632935956,-17.201388004405658,30.806596350034855
2023-01-10 13:44:43.378542,20.0422373885458,-17.200203248585808,30.812442080111396
2023-01-10 13:44:43.825039,20.042711366660114,-17.20265174394683,30.692525617189858
2023-01-10 13:44:44.266192,20.029439979459312,-17.196727964847582,30.103449817449473
2023-01-10 13:44:44.716517,20.030308939335555,-17.198623574159342,30.104555766382873
2023-01-10 13:44:45.160231,20.02928198675454,-17.19901849276596,30.103844799211398
2023-01-10 13:44:45.600177,20.024700198316168,-17.1971228834542,30.107241642363984
2023-01-10 13:44:46.040292,20.02888700499261,-17.197201867175522,30.109374543878403
2023-01-10 13:44:46.488934,20.03244184084997,-17.196964916011552,30.106056697078206
2023-01-10 13:44:46.946891,20.032283848145198,-17.19617507879832,30.105108740849573
2023-01-10 13:44:47.396226,20.02691209618297,-17.198149671831402,30.10092193417313
2023-01-10 13:44:47.841656,20.028255034173526,-17.19735983461817,30.102422864868462
2023-01-10 13:44:48.288797,20.025332169135254,-17.201309020684334,30.104555766382873
2023-01-10 13:44:48.737604,20.0350487204787,-17.200677150913748,30.219021480989795
2023-01-10 13:44:49.185723,20.045318246288844,-17.203046662553447,30.808729251549266
2023-01-10 13:44:49.630455,20.042158392193414,-17.20312564627477,30.810072189539824
2023-01-10 13:44:50.015307,20.043817315593515,-17.199650362536545,30.810230182244595
2023-01-10 13:44:50.400813,20.04097344690763,-17.19262081133877,30.81054616765414
2023-01-10 13:44:50.786391,20.048083118622344,-17.20075613463507,30.806043375568155
2023-01-10 13:44:51.171001,20.046898173336558,-17.200677150913748,30.805569397453837
2023-01-10 13:44:51.557330,20.045792224403158,-17.198149671831402,30.80904523695881
2023-01-10 13:44:51.942361,20.046819176984172,-17.20217784161889,30.81117813847322
2023-01-10 13:44:52.328543,20.045792224403158,-17.19925544392993,30.807228320853934
2023-01-10 13:44:52.714383,20.04650319157463,-17.1994923950939,30.801856568891704
2023-01-10 13:44:53.101789,20.047372151450872,-17.199887313700515,30.801856568891704
2023-01-10 13:44:53.486681,20.044212297355443,-17.201388004405658,30.80272552876795
2023-01-10 13:44:53.873011,20.04073645785047,-17.198623574159342,30.694263536942344
2023-01-10 13:44:54.257320,20.038129578221742,-17.19380556715862,30.096735127496686
2023-01-10 13:44:54.643716,20.029755964868855,-17.197280850896846,30.099657992534958
2023-01-10 13:44:55.050685,20.0333897970786,-17.194358453207883,30.098157061839633
