#TUCAN Gradiometer B-field Measurements
#
#Scan freq: 5000 Hz
#Sample freq: 8.33 Hz
#Range of Fluxgate: 500 μ T
#Fluxgate 1 Serial No. 523
#	 x-offset: 0.5896 ± 0.0015 μ T
#	 y-offset: 0.5861 ± 0.0007 μ T
#	 z-offset: 0.4189 ± 0.0007 μ T
#Fluxgate 2 Serial No. 2122
#	 x-offset: 0.4813 ± 0.0175 μ T
#	 y-offset: 0.5278 ± 0.0009 μ T
#Date: 2023-01-10 16:20:18.593908
#Start Time: 2023-01-10 16:16:56.142689
#End Time: 2023-01-10 16:17:42.036156
#Experimenters: Emma
#Comments: SquareCoil, 1mHz, 5V, 21.5 ohm resistor in series, FG might have offset?
# 
Time,Bx (μ T),By (μ T),Bz (μ T),Bx-2 (μ T),By-2 (μ T)
2023-01-10 16:17:24.166286,20.086317353177037,-17.347586872575107,30.14500189880437,17.194344825959888,27.541113269467495
2023-01-10 16:17:24.644615,20.125815529369902,-17.370887070365484,30.094760218687043,16.75370317235229,26.307932810914828
2023-01-10 16:17:25.121510,20.113887080159657,-17.38107597041619,30.06948138592361,17.831181820352686,27.347272019983393
2023-01-10 16:17:25.600175,20.105434470454384,-17.368359591283138,30.069007407809295,18.979725586959283,26.755510344261893
2023-01-10 16:17:26.084086,20.097297846158654,-17.38984316348308,30.052576166513063,17.87300248930569,26.741275201561983
2023-01-10 16:17:26.565853,20.086317353177037,-17.398373405385996,30.051944195693974,17.898233924257696,26.698538174921307
2023-01-10 16:17:27.048867,20.083552480843537,-17.41132673568302,30.048468356189005,17.793200374125625,26.729362551622216
2023-01-10 16:17:27.531876,20.082999506376837,-17.403823282157305,29.93818944825853,17.955727469524028,26.606096643359525
2023-01-10 16:17:28.009038,20.077627754414607,-17.40129580307496,29.3482446886419,18.17213007724949,25.97339905783174
2023-01-10 16:17:28.494193,20.078180728881307,-17.41037893102714,29.332919396279067,18.10749526172749,25.72610887632345
2023-01-10 16:17:28.986542,20.043817315593515,-17.436917461391772,29.329838538536023,18.487941694817167,25.536659824031993
2023-01-10 16:17:29.490044,19.785420246939793,-17.65199013455515,29.273040161170684,19.27087454331213,25.296842697459397
2023-01-10 16:17:29.982326,19.70555493467782,-17.710596055777046,29.24839329922634,19.73004874118942,25.25849786801136
2023-01-10 16:17:30.475747,19.705870920087364,-17.706488902268234,29.252501109550394,19.869129719199737,25.2475489735707
2023-01-10 16:17:30.960801,19.705159952915892,-17.70759467436676,29.246339394064307,19.874296080645763,25.192930895531205
2023-01-10 16:17:31.448567,19.70263206963955,-17.698590530135903,29.25329107307425,20.16029447482306,25.126084182142403
2023-01-10 16:17:31.946415,19.775387710186806,-17.604678885482485,29.28939240611453,20.14079817505426,25.04797258890339
2023-01-10 16:17:32.439171,20.10235361271134,-17.21363048121077,29.617622250277236,19.16342370479706,25.502122618768954
2023-01-10 16:17:32.935415,20.137743978580147,-17.27989782340103,30.248092138667744,18.42373345959804,26.214732914370146
2023-01-10 16:17:33.425854,19.342171713703465,-18.028347566660727,30.230317959380955,18.591205726655787,26.101057163287077
2023-01-10 16:17:33.928829,19.736205519403484,-17.708384511579993,30.22818505786654,18.611049610375087,26.093362918564708
2023-01-10 16:17:34.431306,19.736916486574955,-17.708937397629256,30.23742763109567,18.79425795082807,25.914594173115802
2023-01-10 16:17:34.931631,19.747423001442257,-17.700328172005015,30.2466702043248,18.504404534654352,25.997366551145568
2023-01-10 16:17:35.430558,19.742525227594342,-17.701196992939572,30.248092138667744,18.516506775839844,25.946998476864426
2023-01-10 16:17:35.933832,19.751688804471087,-17.690297239396955,30.256465752020635,18.12549063080096,25.07440476841166
2023-01-10 16:17:36.435138,19.75587561114753,-17.672446918377887,30.280954621260207,12.106884936696042,21.930270947107235
2023-01-10 16:17:36.934280,19.750029881070986,-17.674184560247,30.281744584784065,3.6336349760117397,22.14836407677376
2023-01-10 16:17:37.457858,19.745290099927843,-17.683583623084473,30.182288177130427,-12.070133773131715,3.2161298625507695
2023-01-10 16:17:37.979759,19.735494552232012,-17.679792404460954,29.601191008981004,0.455447635456585,9.952370020268608
2023-01-10 16:17:38.841417,19.733914625184298,-17.682161916100654,29.59534527890446,1.7465301160635818,20.23823227608682
2023-01-10 16:17:39.431038,19.742288238537185,-17.680977160280804,29.590921483170863,-17.79043500950695,32.65505273605104
2023-01-10 16:17:39.968026,19.742525227594342,-17.68350463936315,29.593054384685274,-22.880872661817307,26.734386719633946
2023-01-10 16:17:40.503691,19.7460800634517,-17.687374841707992,29.58886757800883,-12.502664427842433,29.82627235347045
2023-01-10 16:17:41.011625,19.749160921194743,-17.679871388182278,29.58531274215147,-13.842370512184175,32.55817160948518
2023-01-10 16:17:41.523127,19.744658129108757,-17.679555453296985,29.592580406570963,-19.710007982315915,30.09506534209813
2023-01-10 16:17:42.036156,19.73683749022257,-17.67852866491978,29.591316464932788,-19.78433166408115,22.92714171713324
